n,rho,L,S,k,alpha_PN,Delta_T,Ra,RL,Th,R,K,V_TEG,I,P_TEG,P_load,P_R,P_max,I_max,Q_h
75,0.00984201818950505,0.09326470832537939,0.009723616824511604,1.7179772284415358,0.03183735939498174,54.68933158766762,0.0009333630144437471,3.262254718843914,307.8138422398664,14.160987780163463,26.86699918310281,128.85146071960202,0.001634379530992953,0.2105921899386601,-0.21059218993866005,8.714123228306316e-06,4.014089346916328,0.061477487723946136,110201.56687976274
93,0.0026773751831153064,0.07436608740673684,0.008354800518836275,1.6580224128494672,0.07579586882569635,39.42124530092005,0.004256590722288676,1.1573827800327556,353.946238593406,4.436881936798176,34.64690884864722,274.90137096061324,0.0072210210287138536,1.9850685805288562,-1.9850685805288562,6.034957776921187e-05,46.783944358841445,0.33671929750855234,127039.66470752882
93,0.005416522961620219,0.05417367515657902,0.009156427536659162,0.8401992780174254,0.09797660408895909,26.332868827375204,0.005219501666231522,4.622963499669979,452.787278303689,5.965898979122476,26.4139293428189,237.3817854278329,0.004611668299145145,1.094726054652012,-1.094726054652012,9.831880457949305e-05,25.941087508424285,0.21622936230188444,64705.59244713537
17,0.004534469101520226,0.052254847263508764,0.0067061199560402044,1.8727240991875007,0.055337303688201125,24.966061300772992,0.0065002568414238735,4.929212782079999,318.45286951556955,1.2078255721840288,8.171418457568077,22.372326109703003,0.05425893828105621,1.2138986615900378,-1.2138986615900378,0.014511762055050947,6.716155818249232,0.5719180599898004,3484.3629204324325
63,0.0010857339821970298,0.08944383604536138,0.004462594321037967,2.4536036062184,0.045318751187905515,31.64413560607182,0.0047649469703675805,7.736916663528572,432.41348267951605,2.7466988689429184,15.42452994433372,88.9738828641539,0.007932741862498538,0.7058068452655148,-0.705806845265515,0.00048687173594683016,11.79266200111942,0.2610538643866375,30759.830910144123
70,0.0035878854458852773,0.053956905394635095,0.006882410711400891,1.7171866143701966,0.04527395788952272,29.847546975991055,0.006616172538671078,0.8169862862809405,410.31511901575936,3.9445920528450253,30.66472557402648,93.24483082921853,0.004879483807890624,0.45498664220067225,-0.45498664220067225,1.9451922428203733e-05,8.101215168179712,0.17128724172147752,64075.0203999359
44,0.0047455668225033975,0.04731107366345078,0.006521123252855631,1.15675789874249,0.08150558131462295,73.87304837686531,0.00010709789987775835,6.737258067007713,387.306477532502,3.02988755859049,14.030874840983703,259.19547247105425,0.042991548827081706,11.14321481049784,-11.14321481049784,0.012452294002056816,131.61728047765354,0.9936120788325035,45665.744853818316
92,0.008427287284877434,0.025670075700441906,0.00038809014059094693,2.1053842797935554,0.07354549064926547,79.26703864493915,0.0002463311666945406,1.565098583462064,335.4674303772792,102.56547720508078,5.85672266356944,530.5066924842305,0.0006177142539858537,0.32770154578239913,-0.32770154578239913,5.971960744187775e-07,7.621211208453904,0.02841956869073851,42711.94598595661
51,0.009056012667674184,0.05277604977177545,0.009203361211439259,2.172728054963061,0.038702559379068635,42.713358827373554,0.008047063180078492,6.843036891398677,306.54388127367673,5.30501819784257,38.64694158493439,82.69659533670453,0.005959345617626635,0.4928175930124334,-0.4928175930124334,0.00024302224485616068,6.567954360924218,0.15580684595654876,84191.37584961127
93,0.0004718378998985888,0.08052831686091586,0.005470324326873964,1.3305598934116767,0.09771297905305189,24.345433643098293,0.006175651072139313,3.4856336600210227,402.4739663353667,1.29811258076107,16.811707549416294,218.92232263750375,0.01915194317774935,4.192787883494383,-4.192787883494383,0.001278519716829614,101.35615708048945,0.9162783270349418,38133.83714586757
